Date,AQI
19-11-2019,242
20-11-2019,301
21-11-2019,366
22-11-2019,360
23-11-2019,312
24-11-2019,234
25-11-2019,252
26-11-2019,270
27-11-2019,134
28-11-2019,106
29-11-2019,84
30-11-2019,193
01-12-2019,250
02-12-2019,279
03-12-2019,282
04-12-2019,296
05-12-2019,382
06-12-2019,404
07-12-2019,371
08-12-2019,391
09-12-2019,343
10-12-2019,369
11-12-2019,408
12-12-2019,430
13-12-2019,240
14-12-2019,163
15-12-2019,213
16-12-2019,186
17-12-2019,168
18-12-2019,292
19-12-2019,362
20-12-2019,432
21-12-2019,418
22-12-2019,322
23-12-2019,327
24-12-2019,383
25-12-2019,350
26-12-2019,349
27-12-2019,373
28-12-2019,409
29-12-2019,431
30-12-2019,446
31-12-2019,387
01-01-2020,437
02-01-2020,417
03-01-2020,352
04-01-2020,334
05-01-2020,330
06-01-2020,325
07-01-2020,254
08-01-2020,266
09-01-2020,203
10-01-2020,255
11-01-2020,288
12-01-2020,348
13-01-2020,366
14-01-2020,283
15-01-2020,218
16-01-2020,281
17-01-2020,265
18-01-2020,243
19-01-2020,277
20-01-2020,269
21-01-2020,364
22-01-2020,370
23-01-2020,211
24-01-2020,151
25-01-2020,250
26-01-2020,325
27-01-2020,345
28-01-2020,243
29-01-2020,194
30-01-2020,202
31-01-2020,190
01-02-2020,232
02-02-2020,244
03-02-2020,270
04-02-2020,310
05-02-2020,312
06-02-2020,231
07-02-2020,295
08-02-2020,289
09-02-2020,285
10-02-2020,309
11-02-2020,323
12-02-2020,320
13-02-2020,241
14-02-2020,173
15-02-2020,167
16-02-2020,247
17-02-2020,293
18-02-2020,252
19-02-2020,272
20-02-2020,230
21-02-2020,144
22-02-2020,100
23-02-2020,225
24-02-2020,142
25-02-2020,249
26-02-2020,274
27-02-2020,233
28-02-2020,198
01-03-2020,90
02-03-2020,205
03-03-2020,205
04-03-2020,195
05-03-2020,79
06-03-2020,64
07-03-2020,67
08-03-2020,164
09-03-2020,123
10-03-2020,188
11-03-2020,116
12-03-2020,127
13-03-2020,173
14-03-2020,108
15-03-2020,131
16-03-2020,139
17-03-2020,157
18-03-2020,151
19-03-2020,186
20-03-2020,192
21-03-2020,186
22-03-2020,191
23-03-2020,124
24-03-2020,122
25-03-2020,77
26-03-2020,92
27-03-2020,69
28-03-2020,45
29-03-2020,62
30-03-2020,71
31-03-2020,76
01-04-2020,73
02-04-2020,69
03-04-2020,79
04-04-2020,87
05-04-2020,102
06-04-2020,142
07-04-2020,90
08-04-2020,83
09-04-2020,86
10-04-2020,118
11-04-2020,124
12-04-2020,94
13-04-2020,126
14-04-2020,130
15-04-2020,155
16-04-2020,180
17-04-2020,105
18-04-2020,98
19-04-2020,85
20-04-2020,119
21-04-2020,87
22-04-2020,131
23-04-2020,122
24-04-2020,139
25-04-2020,98
26-04-2020,117
27-04-2020,89
28-04-2020,100
29-04-2020,125
30-04-2020,138
01-05-2020,146
02-05-2020,112
03-05-2020,93
04-05-2020,94
05-05-2020,119
06-05-2020,139
07-05-2020,127
08-05-2020,134
